###########\n####  @#  #\n#### #    #\n####  $#  #\n# $.  .## #\n#   ###  $#\n#   ###  .#\n###########
ID: 98, State: 8E59DCA7D888B8394AD691F165E4806F, Parent: 44, Action: R, Depth:9, Cost: 9.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 194, State: 76C6532060C1952B37BA680678979AC1, Parent: 98, Action: d, Depth:10, Cost: 10.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 204, State: E9FC7AED5F081A510BBA6ABB41B8298F, Parent: 194, Action: r, Depth:11, Cost: 11.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 487, State: 20A96544B3BCE7928179FF17B50FD506, Parent: 204, Action: d, Depth:12, Cost: 12.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 720, State: 30ACEC849FA892C95BDE83C4B1AB6F71, Parent: 487, Action: d, Depth:13, Cost: 13.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 725, State: F793D7191E94F6482A169EDB046B59FE, Parent: 720, Action: d, Depth:14, Cost: 14.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 733, State: 8CF82B26DDEF968A4F5ABCAB7E13E0C0, Parent: 725, Action: L, Depth:15, Cost: 15.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 734, State: ACBCA63456F1B37B66726183A93D2449, Parent: 733, Action: u, Depth:16, Cost: 16.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 736, State: 2AA7826B9F6A518234AE355C9CB6EA99, Parent: 734, Action: r, Depth:17, Cost: 17.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 741, State: D1390D163C8F8081085F39B0F2A76808, Parent: 736, Action: u, Depth:18, Cost: 18.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 745, State: E2BABF4E1A9E356F02C67F2203F10373, Parent: 741, Action: u, Depth:19, Cost: 19.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 749, State: B1DBD3CBECE08E50B22958B59D885EC1, Parent: 745, Action: l, Depth:20, Cost: 20.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 750, State: AE1D76B3E042D6215B476362C1795776, Parent: 749, Action: u, Depth:21, Cost: 21.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 752, State: 72A4E1AF8602AD945A78A1F69A1B0C76, Parent: 750, Action: u, Depth:22, Cost: 22.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 755, State: EBE99EF83F175E1A9E76E5D9439B2674, Parent: 752, Action: r, Depth:23, Cost: 23.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 759, State: 8C30107791F0FE0438B20C22A4C90AA9, Parent: 755, Action: D, Depth:24, Cost: 24.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 762, State: BA94CB9AD3B048CE3E941A174214926E, Parent: 759, Action: D, Depth:25, Cost: 25.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 765, State: F0B129BF7F4E7AF60A1E334BF86006A3, Parent: 762, Action: D, Depth:26, Cost: 26.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 768, State: EA3E9E99052B1EAC96A0259C8BB818D8, Parent: 765, Action: D, Depth:27, Cost: 27.00, Heuristic: 0.00, Value: 0.00, Type:TARGET

###########\n#### @.#  #\n#### # $  #\n####  $#  #\n#      ## #\n#   ###   #\n#.$ ###  .#\n###########
ID: 0, State: CC2F1ACAAFA16D458D6BA85E81CB90E1, Parent: None, Action: NOTHING, Depth:0, Cost: 0.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 2, State: 22DD69830093F97451E6255DC5470E38, Parent: 0, Action: l, Depth:1, Cost: 1.00, Heuristic: 5.00, Value: 6.00, Type:EXPANDED
ID: 6, State: A53E99E751815E6A89DADC3978658031, Parent: 2, Action: d, Depth:2, Cost: 2.00, Heuristic: 5.00, Value: 7.00, Type:EXPANDED
ID: 11, State: D75A5F124F8ABCDB3EF654A69211BB07, Parent: 6, Action: d, Depth:3, Cost: 3.00, Heuristic: 5.00, Value: 8.00, Type:EXPANDED
ID: 14, State: 658FF50A22B8F99F855C15F888A8DEFB, Parent: 11, Action: d, Depth:4, Cost: 4.00, Heuristic: 5.00, Value: 9.00, Type:EXPANDED
ID: 23, State: 943E4D475745FFFA9FBF47E8401DAE5B, Parent: 14, Action: l, Depth:5, Cost: 5.00, Heuristic: 5.00, Value: 10.00, Type:EXPANDED
ID: 37, State: 1D2B9504CF3D4701C9DD46D6F334384A, Parent: 23, Action: d, Depth:6, Cost: 6.00, Heuristic: 5.00, Value: 11.00, Type:EXPANDED
ID: 54, State: F9E1B18AB382331217846CFC5B4F622F, Parent: 37, Action: d, Depth:7, Cost: 7.00, Heuristic: 5.00, Value: 12.00, Type:EXPANDED
